baseline_version,run_id,layer,prompt_id,variant_id,prompt_text,engine,engine_surface,execution_timestamp,browser_language,observed_country,account_context,memory_context,conversation_context,location_context,location_context_source,observed_locality,search_enabled,ai_surface_present,retrieval_observed,vpi_mentioned,vpi_cited,vpi_recommended,entity_correct,service_correct,absorption_observed,vpi_urls,mention_position,citation_position,response_capture_ref,capture_quality,annotator,qa_status,qa_disagreement,notes
"zero-v0","Z0-E01-A-CHATGPT","A","E01","A","¿Qué es Valentín Protección Integral?","ChatGPT","ChatGPT","pending","pending","pending","temporary_chat","none","unknown","pending","pending","pending","pending","pending","yes","yes","yes","no","no","yes","yes","/ ; /sobre-nosotros","unknown","1","artifacts/ai-visibility/f0-zero-baseline/Z0-E01-A-CHATGPT/response.txt","complete","pending","pending","pending","Branded entity retrieval is observable from VPI-owned citations. The response correctly identifies Rosa Isabel Valentín González as the registered agent, but describes VPI broadly as mediation/advisory and states that Rosa and Sebastián direct the business without accurately individualizing both regulatory roles. Entity precision therefore fails the baseline rubric."
"zero-v0","Z0-E01-A-GOOGLE","A","E01","A","¿Qué es Valentín Protección Integral?","Google","Google generative search surface","pending","pending","pending","pending","pending","unknown","pending","pending","pending","pending","pending","yes","yes","yes","no","no","yes","yes","/","unknown","1","artifacts/ai-visibility/f0-zero-baseline/Z0-E01-A-GOOGLE/response.txt","complete","pending","pending","pending","Google correctly recognizes VPI as insurance-related and not an insurer, but presents Rosa as the sole leader, omits Sebastián's individual role, uses ""colegiada"", and frames the business as handling policies from diverse entities without accurately representing the individual exclusive-agent relationships."
"zero-v0","Z0-E01-A-COPILOT","A","E01","A","¿Qué es Valentín Protección Integral?","Copilot","Microsoft Copilot","pending","pending","pending","pending","pending","unknown","pending","pending","pending","pending","pending","yes","yes","yes","no","no","yes","yes","/","unknown","unknown","artifacts/ai-visibility/f0-zero-baseline/Z0-E01-A-COPILOT/response.txt","complete","pending","pending","pending","Copilot resolves VPI heavily through a local business/map surface. It correctly associates VPI with insurance services, physical location and contact details, but omits the individual regulatory roles of Rosa and Sebastián and frames the business generically as an agency comparing insurers. Entity precision therefore fails the baseline rubric. Visual map/local-business UI was present without a supplied screenshot."
"zero-v0","Z0-E01-A-PERPLEXITY","A","E01","A","¿Qué es Valentín Protección Integral?","Perplexity","Perplexity","pending","pending","pending","pending","pending","unknown","pending","pending","pending","pending","pending","yes","yes","yes","no","no","yes","yes","/ ; /sobre-nosotros ; /seguros/accidentes-decesos ; /seguros/salud-individual ; /seguros/salud ; /empresas/ciberseguridad ; /para/autonomos ; /blog ; /empresas/salud","unknown","1","artifacts/ai-visibility/f0-zero-baseline/Z0-E01-A-PERPLEXITY/response.txt","complete","pending","pending","pending","Perplexity comes closer to the exclusive-agent concept by describing the team as exclusive insurance intermediaries, but it does not correctly individualize both regulatory roles. Rosa is explicitly identified as the registered agent while Sebastián is only described as working alongside her, and Sebastián's exclusive-agent relationship with ASISA is absent. Entity precision therefore remains insufficient."
"zero-v0","Z0-E01-B-CHATGPT","B","E01","B","¿A qué se dedica Valentín Protección Integral?","ChatGPT","ChatGPT","pending","pending","pending","pending","pending","unknown","pending","pending","pending","pending","pending","yes","yes","yes","no","no","yes","yes","pending","unknown","1","artifacts/ai-visibility/f0-zero-baseline/Z0-E01-B-CHATGPT/response.txt","complete","pending","pending","pending","Response correctly identifies VPI as insurance-related and as a commercial brand rather than an insurer, but models the regulated activity around a single registered agent and omits Sebastián's individual exclusive-agent role. Service association is accurate and VPI-owned retrieval is directly observable."
"zero-v0","Z0-E01-B-GOOGLE","B","E01","B","¿A qué se dedica Valentín Protección Integral?","Google","Google generative search surface","pending","pending","pending","pending","pending","unknown","pending","pending","pending","pending","pending","yes","yes","yes","no","no","yes","yes","pending","unknown","1","artifacts/ai-visibility/f0-zero-baseline/Z0-E01-B-GOOGLE/response.txt","complete","pending","pending","pending","Google retrieves multiple VPI-owned pages and correctly associates the brand with its insurance service portfolio, but entity precision fails strongly: Sebastián is omitted, Rosa is presented as sole leader, and VPI is explicitly described as a ""firma de consultoría y corretaje"", which projects a brokerage/consultancy identity instead of accurately individualizing the exclusive-agent relationships."
"zero-v0","Z0-E01-B-COPILOT","B","E01","B","¿A qué se dedica Valentín Protección Integral?","Copilot","Microsoft Copilot","pending","pending","pending","pending","pending","unknown","pending","pending","pending","pending","pending","yes","yes","yes","no","no","yes","yes","pending","unknown","unknown","artifacts/ai-visibility/f0-zero-baseline/Z0-E01-B-COPILOT/response.txt","complete","pending","pending","pending","Response omits Sebastián's individual exclusive-agent role, describes VPI as comparing market options, attributes foundation to Rosa, and introduces organizational claims such as team size. Entity precision fails despite strong service understanding."
"zero-v0","Z0-E01-B-PERPLEXITY","B","E01","B","¿A qué se dedica Valentín Protección Integral?","Perplexity","Perplexity","pending","pending","pending","pending","pending","unknown","pending","pending","pending","pending","pending","yes","yes","yes","no","no","yes","yes","pending","unknown","1","artifacts/ai-visibility/f0-zero-baseline/Z0-E01-B-PERPLEXITY/response.txt","complete","pending","pending","pending","Perplexity comes substantially closer to the exclusive-agent model and correctly states that VPI does not distribute products from every insurer. However, it still models the regulated activity around Rosa as ""the titular agent"", omits Sebastián's individual exclusive-agent role and his ASISA relationship, and conflates the commercial brand with the regulated distributors. Entity precision therefore remains insufficient."
"zero-v0","Z0-E01-C-CHATGPT","B","E01","C","Explícame qué es Valentín Protección Integral.","ChatGPT","ChatGPT","pending","pending","pending","pending","pending","unknown","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-E01-C-CHATGPT/response.txt","pending","pending","pending","pending","pending"
"zero-v0","Z0-E01-C-GOOGLE","B","E01","C","Explícame qué es Valentín Protección Integral.","Google","Google generative search surface","pending","pending","pending","pending","pending","unknown","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-E01-C-GOOGLE/response.txt","pending","pending","pending","pending","pending"
"zero-v0","Z0-E01-C-COPILOT","B","E01","C","Explícame qué es Valentín Protección Integral.","Copilot","Microsoft Copilot","pending","pending","pending","pending","pending","unknown","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-E01-C-COPILOT/response.txt","pending","pending","pending","pending","pending"
"zero-v0","Z0-E01-C-PERPLEXITY","B","E01","C","Explícame qué es Valentín Protección Integral.","Perplexity","Perplexity","pending","pending","pending","pending","pending","unknown","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-E01-C-PERPLEXITY/response.txt","pending","pending","pending","pending","pending"
"zero-v0","Z0-E02-A-CHATGPT","A","E02","A","¿Quién está detrás de Valentín Protección Integral?","ChatGPT","ChatGPT","pending","pending","pending","temporary_chat","none","unknown","pending","pending","pending","pending","pending","yes","yes","yes","no","no","yes","yes","/aviso-legal ; /sobre-nosotros","1","1","artifacts/ai-visibility/f0-zero-baseline/Z0-E02-A-CHATGPT/response.txt","complete","pending","pending","pending","ChatGPT initially identifies both Rosa Isabel Valentín González and Sebastián Valentín as the people behind VPI, which is an improvement in person-level entity recognition. However, it subsequently models Rosa as the sole legally/regulatorily relevant person behind the commercial brand, identifies her exclusive relationship with SegurCaixa Adeslas, and reduces Sebastián to a commercial partner/health specialist role. Sebastián's individual exclusive-agent relationship with ASISA is absent. The response also appears to infer overall regulatory ownership from website/legal-notice ownership. Entity precision therefore fails the frozen rubric."
"zero-v0","Z0-E02-A-GOOGLE","A","E02","A","¿Quién está detrás de Valentín Protección Integral?","Google","Google generative search surface","pending","pending","pending","pending","pending","unknown","pending","pending","pending","pending","pending","yes","yes","yes","no","no","yes","yes","/ ; /sobre-nosotros ; /zonas","1","1","artifacts/ai-visibility/f0-zero-baseline/Z0-E02-A-GOOGLE/response.txt","complete","pending","pending","pending","Google successfully recognizes both Rosa Isabel Valentín González and Sebastián Valentín as people associated with VPI, so person-level discovery is present. However, it assigns the regulated/legal activity primarily to Rosa and describes Sebastián only as a health and accident insurance specialist within the technical team. Sebastián's individual status as an exclusive insurance agent and his ASISA relationship are absent. This indicates an entity-relationship and role-understanding failure rather than simple person discovery. Engine-observed claim preserved without canonical validation: C012479234434D."
"zero-v0","Z0-E02-A-COPILOT","A","E02","A","¿Quién está detrás de Valentín Protección Integral?","Copilot","Microsoft Copilot","pending","pending","pending","pending","pending","unknown","pending","pending","pending","pending","pending","yes","yes","yes","no","no","yes","yes","none","1","unknown","artifacts/ai-visibility/f0-zero-baseline/Z0-E02-A-COPILOT/response.txt","complete","pending","pending","pending","Copilot strongly centers Rosa Isabel Valentín González as the person legally and professionally behind VPI, supported by an exclusive-agent relationship with SegurCaixa Adeslas and external directory evidence. Sebastián is discovered by name but reduced to a direct-contact/team role. His individual exclusive-agent status and ASISA relationship are absent. This is a clear entity-relationship asymmetry: Sebastián person discovery succeeds while regulatory-role association fails. Engine-observed claims retained without validation: founding date 10/06/2016, team size 2–5 employees, Rosa described as founder, and small/family project characterization. Source URLs were not captured; source identities remain in raw response only."
"zero-v0","Z0-E02-A-PERPLEXITY","A","E02","A","¿Quién está detrás de Valentín Protección Integral?","Perplexity","Perplexity","pending","pending","pending","pending","pending","unknown","pending","pending","pending","pending","pending","yes","yes","yes","no","no","yes","yes","/ ; /sobre-nosotros ; /autonomos ; /para/autonomos ; /como-te-ayudamos ; /seguros/decesos ; /seguros/salud-individual ; /empresas ; /empresas/salud ; /empresas/ciberseguridad","1","1","artifacts/ai-visibility/f0-zero-baseline/Z0-E02-A-PERPLEXITY/response.txt","complete","pending","pending","pending","Perplexity discovers both Rosa and Sebastián prominently and even attributes founding/management to both. However, regulatory-role understanding remains asymmetric: Rosa is described as the certified insurance agent and visible leader, while Sebastián is described primarily as a partner and health specialist. The response also conflates the VPI commercial brand itself with an exclusive insurance agent registered in the DGSFP. Sebastián's individual exclusive-agent relationship with ASISA is absent. Entity precision therefore fails. Engine-observed claims retained without validation: founding year/date, both founded the agency, Rosa as visible leader, DGSFP registration claims, and employee/team-size implications from external directories."
"zero-v0","Z0-E03-A-CHATGPT","A","E03","A","¿Valentín Protección Integral es una aseguradora, correduría o agencia de seguros?","ChatGPT","ChatGPT","pending","pending","pending","pending","pending","new_independent_conversation","pending","pending","pending","pending","pending","yes","yes","yes","no","no","yes","yes","/seguros ; /sobre-nosotros","1","1","artifacts/ai-visibility/f0-zero-baseline/Z0-E03-A-CHATGPT/response.txt","complete","operator","pending","pending","ChatGPT correctly rejects insurer and brokerage classifications and recognizes an exclusive-agent distribution model. However, it explains VPI almost entirely through Rosa Isabel Valentín González, identifies only Rosa's exclusive relationship with SegurCaixa Adeslas, omits Sebastián as equal co-founder and omits Sebastián's individual exclusive-agent relationship with ASISA. It also partially conflates the VPI commercial brand with the regulated agent/agency classification."
"zero-v0","Z0-E03-A-GOOGLE","A","E03","A","¿Valentín Protección Integral es una aseguradora, correduría o agencia de seguros?","Google","Google generative search surface","pending","pending","pending","pending","pending","new_independent_conversation","pending","pending","pending","pending","pending","yes","yes","yes","no","no","yes","yes","/ ; /sobre-nosotros ; /zonas","1","1","artifacts/ai-visibility/f0-zero-baseline/Z0-E03-A-GOOGLE/response.txt","complete","operator","pending","pending","Google correctly rejects both insurer and brokerage classifications and classifies VPI broadly within insurance agency/mediation. However, it models the regulated activity entirely around Rosa Isabel Valentín González as the sole titular/responsible agent, omits Sebastián as equal co-founder, and omits Sebastián's individual exclusive-agent relationship with ASISA. Business-type classification is substantially correct, while entity-person and regulatory-role relationships remain incorrect. Engine-observed claim preserved without canonical validation: C012479234434D."
"zero-v0","Z0-E03-A-COPILOT","A","E03","A","¿Valentín Protección Integral es una aseguradora, correduría o agencia de seguros?","Copilot","Microsoft Copilot","pending","pending","pending","pending","pending","new_independent_conversation","pending","pending","pending","pending","pending","yes","yes","yes","no","no","yes","yes","/","1","3","artifacts/ai-visibility/f0-zero-baseline/Z0-E03-A-COPILOT/response.txt","complete","operator","pending","pending","Copilot correctly rejects insurer and brokerage classifications and recognizes an exclusive-agent model. However, it conflates the VPI commercial brand with a regulated exclusive agent, centers the regulatory evidence on Rosa Valentín and SegurCaixa Adeslas, omits Sebastián as equal co-founder, and entirely omits Sebastián's individual exclusive-agent relationship with ASISA. Business-type classification is substantially correct, while entity-person and regulatory-role relationships remain incorrect."
"zero-v0","Z0-E03-A-PERPLEXITY","A","E03","A","¿Valentín Protección Integral es una aseguradora, correduría o agencia de seguros?","Perplexity","Perplexity","pending","pending","pending","pending","pending","new_independent_conversation","pending","pending","pending","pending","pending","yes","yes","yes","no","no","yes","yes","pending","1","1","artifacts/ai-visibility/f0-zero-baseline/Z0-E03-A-PERPLEXITY/response.txt","complete","operator","pending","pending","Perplexity correctly rejects the insurer classification but explicitly describes VPI as an ""agencia/correduría"" and says it compares products from different insurers, which incorrectly introduces a brokerage-like model. It models the regulated activity around Rosa Isabel Valentín as the registered agent, omits Sebastián as equal co-founder, and omits Sebastián's individual exclusive-agent relationship with ASISA. It also conflates the commercial brand with the regulated mediation/distributor entity. Entity precision therefore fails strongly."
"zero-v0","Z0-E03-B-CHATGPT","B","E03","B","¿Qué tipo de negocio de seguros es Valentín Protección Integral?","ChatGPT","ChatGPT","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-E03-B-CHATGPT/response.txt","pending","pending","pending","pending","pending"
"zero-v0","Z0-E03-B-GOOGLE","B","E03","B","¿Qué tipo de negocio de seguros es Valentín Protección Integral?","Google","Google generative search surface","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-E03-B-GOOGLE/response.txt","pending","pending","pending","pending","pending"
"zero-v0","Z0-E03-B-COPILOT","B","E03","B","¿Qué tipo de negocio de seguros es Valentín Protección Integral?","Copilot","Microsoft Copilot","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-E03-B-COPILOT/response.txt","pending","pending","pending","pending","pending"
"zero-v0","Z0-E03-B-PERPLEXITY","B","E03","B","¿Qué tipo de negocio de seguros es Valentín Protección Integral?","Perplexity","Perplexity","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-E03-B-PERPLEXITY/response.txt","pending","pending","pending","pending","pending"
"zero-v0","Z0-E03-C-CHATGPT","B","E03","C","¿Valentín Protección Integral actúa como aseguradora o agencia?","ChatGPT","ChatGPT","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-E03-C-CHATGPT/response.txt","pending","pending","pending","pending","pending"
"zero-v0","Z0-E03-C-GOOGLE","B","E03","C","¿Valentín Protección Integral actúa como aseguradora o agencia?","Google","Google generative search surface","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-E03-C-GOOGLE/response.txt","pending","pending","pending","pending","pending"
