"prompt_id","prompt_family","canonical_prompt","variant_A","variant_B","variant_C","sentinel","target_control_class","language","intent_description"
"E01","entity","¿Qué es Valentín Protección Integral?","¿Qué es Valentín Protección Integral?","¿A qué se dedica Valentín Protección Integral?","Explícame qué es Valentín Protección Integral.","yes","primary","es","What is Valentín Protección Integral?"
"E02","entity","¿Quién está detrás de Valentín Protección Integral?","¿Quién está detrás de Valentín Protección Integral?","¿Quién dirige Valentín Protección Integral?","¿Qué personas están detrás de Valentín Protección Integral?","no","primary","es","Who is behind VPI?"
"E03","entity","¿Valentín Protección Integral es una aseguradora, correduría o agencia de seguros?","¿Valentín Protección Integral es una aseguradora, correduría o agencia de seguros?","¿Qué tipo de negocio de seguros es Valentín Protección Integral?","¿Valentín Protección Integral actúa como aseguradora o agencia?","yes","primary","es","Business type"
"E04","entity","¿Quiénes son Rosa y Sebastián en Valentín Protección Integral?","¿Quiénes son Rosa y Sebastián en Valentín Protección Integral?","¿Qué papel tienen Rosa y Sebastián en Valentín Protección Integral?","¿Quiénes forman el equipo de Valentín Protección Integral?","no","primary","es","Rosa and Sebastián"
"E05","entity","What is Valentín Protección Integral?","What is Valentín Protección Integral?","What does Valentín Protección Integral do?","Can you explain what Valentín Protección Integral is?","yes","primary","en","What is VPI?"
"E06","entity","Who runs Valentín Protección Integral and what type of insurance business is it?","Who runs Valentín Protección Integral and what type of insurance business is it?","Who is behind Valentín Protección Integral and is it an insurer or agency?","Who leads Valentín Protección Integral and what kind of insurance business is it?","no","primary","en","Who runs VPI and business type"
"F01","foreigners","Seguro médico para visado de estudios en España","Seguro médico para visado de estudios en España","¿Qué seguro médico necesito para un visado de estudios en España?","Seguro privado para visado de estudiante en España","yes","primary","es","study visa health insurance"
"F02","foreigners","¿Qué seguro médico necesita un estudiante extranjero para estudiar en España?","¿Qué seguro médico necesita un estudiante extranjero para estudiar en España?","¿Qué cobertura sanitaria debe tener un estudiante extranjero en España?","¿Qué seguro de salud necesita un estudiante internacional en España?","no","primary","es","student insurance requirement"
"F03","foreigners","¿Puedo contratar un seguro médico para visado de estudiante sin NIE?","¿Puedo contratar un seguro médico para visado de estudiante sin NIE?","¿Se puede contratar el seguro del visado antes de tener NIE?","Seguro médico de estudiante en España sin NIE: ¿es posible?","no","primary","es","insurance before NIE"
"F04","foreigners","Soy peruano y voy a estudiar un máster en Madrid, todavía no tengo NIE. ¿Qué seguro médico necesito para el visado?","Soy peruano y voy a estudiar un máster en Madrid, todavía no tengo NIE. ¿Qué seguro médico necesito para el visado?","Voy de Perú a Madrid para estudiar un máster y aún no tengo NIE: ¿qué seguro exige el visado?","¿Qué seguro necesita un estudiante peruano que llega a Madrid sin NIE?","yes","primary","es","Peru student in Madrid"
