"run_id","prompt_id","engine","domain","source_url","source_type","cited","mentioned","position","notes"
"P0-E01-COPILOT","E01","Copilot","todoenlaces.com","unknown","entity source","unknown","unknown","unknown","Todoenlaces observed in manual capture; exact page URL was not supplied."
"P0-E01-PERPLEXITY","E01","Perplexity","todoenlaces.com","unknown","entity source","unknown","unknown","unknown","Todoenlaces observed in manual capture; exact page URL was not supplied."
"P0-E01-PERPLEXITY","E01","Perplexity","unknown","unknown","entity source","unknown","unknown","unknown","VPI LinkedIn observed in manual capture; exact URL was not supplied, so no URL was invented."
"P0-E01-PERPLEXITY","E01","Perplexity","unknown","unknown","entity source","unknown","unknown","unknown","Crunchbase observed in manual capture; exact URL was not supplied, so no URL was invented."
"P0-F01-CHATGPT","F01","ChatGPT","unknown","unknown","official government/consular","unknown","unknown","unknown","Inclusion observed in manual capture; exact URL was not supplied, so no URL was invented."
"P0-F01-CHATGPT","F01","ChatGPT","unknown","unknown","official government/consular","unknown","unknown","unknown","Exteriores/consulates observed in manual capture; exact URL was not supplied, so no URL was invented."
"P0-F01-GOOGLE","F01","Google","unknown","unknown","official government/consular","unknown","unknown","unknown","Exteriores/consulates observed in manual capture; exact URL was not supplied, so no URL was invented."
"P0-F01-GOOGLE","F01","Google","unknown","unknown","official government/consular","unknown","unknown","unknown","BOE observed in manual capture; exact URL was not supplied, so no URL was invented."
"P0-F01-GOOGLE","F01","Google","unknown","unknown","insurer","unknown","unknown","unknown","Sanitas observed in manual capture; exact URL was not supplied, so no URL was invented."
"P0-F01-GOOGLE","F01","Google","unknown","unknown","insurer","unknown","unknown","unknown","SegurCaixa Adeslas observed in manual capture; exact URL was not supplied, so no URL was invented."
"P0-F01-GOOGLE","F01","Google","unknown","unknown","insurer","unknown","unknown","unknown","ASISA observed in manual capture; exact URL was not supplied, so no URL was invented."
"P0-F01-COPILOT","F01","Copilot","unknown","unknown","official government/consular","unknown","unknown","unknown","Exteriores/consulates observed in manual capture; exact URL was not supplied, so no URL was invented."
"P0-F01-COPILOT","F01","Copilot","unknown","unknown","official government/consular","unknown","unknown","unknown","Inclusion observed in manual capture; exact URL was not supplied, so no URL was invented."
"P0-F01-COPILOT","F01","Copilot","unknown","unknown","insurer/regulator","unknown","unknown","unknown","DGSFP observed in manual capture; exact URL was not supplied, so no URL was invented."
