baseline_version,run_id,layer,prompt_id,variant_id,prompt_text,family,engine,engine_surface,run_sequence,status,capture_ref
"zero-v0","Z0-E01-A-CHATGPT","A","E01","A","¿Qué es Valentín Protección Integral?","entity","ChatGPT","ChatGPT","1","complete","artifacts/ai-visibility/f0-zero-baseline/Z0-E01-A-CHATGPT/response.txt"
"zero-v0","Z0-E01-A-GOOGLE","A","E01","A","¿Qué es Valentín Protección Integral?","entity","Google","Google generative search surface","2","complete","artifacts/ai-visibility/f0-zero-baseline/Z0-E01-A-GOOGLE/response.txt"
"zero-v0","Z0-E01-A-COPILOT","A","E01","A","¿Qué es Valentín Protección Integral?","entity","Copilot","Microsoft Copilot","3","complete","artifacts/ai-visibility/f0-zero-baseline/Z0-E01-A-COPILOT/response.txt"
"zero-v0","Z0-E01-A-PERPLEXITY","A","E01","A","¿Qué es Valentín Protección Integral?","entity","Perplexity","Perplexity","4","complete","artifacts/ai-visibility/f0-zero-baseline/Z0-E01-A-PERPLEXITY/response.txt"
"zero-v0","Z0-E01-B-CHATGPT","B","E01","B","¿A qué se dedica Valentín Protección Integral?","entity","ChatGPT","ChatGPT","5","complete","artifacts/ai-visibility/f0-zero-baseline/Z0-E01-B-CHATGPT/response.txt"
"zero-v0","Z0-E01-B-GOOGLE","B","E01","B","¿A qué se dedica Valentín Protección Integral?","entity","Google","Google generative search surface","6","complete","artifacts/ai-visibility/f0-zero-baseline/Z0-E01-B-GOOGLE/response.txt"
"zero-v0","Z0-E01-B-COPILOT","B","E01","B","¿A qué se dedica Valentín Protección Integral?","entity","Copilot","Microsoft Copilot","7","complete","artifacts/ai-visibility/f0-zero-baseline/Z0-E01-B-COPILOT/response.txt"
"zero-v0","Z0-E01-B-PERPLEXITY","B","E01","B","¿A qué se dedica Valentín Protección Integral?","entity","Perplexity","Perplexity","8","complete","artifacts/ai-visibility/f0-zero-baseline/Z0-E01-B-PERPLEXITY/response.txt"
"zero-v0","Z0-E01-C-CHATGPT","B","E01","C","Explícame qué es Valentín Protección Integral.","entity","ChatGPT","ChatGPT","9","deferred_robustness","artifacts/ai-visibility/f0-zero-baseline/Z0-E01-C-CHATGPT/response.txt"
"zero-v0","Z0-E01-C-GOOGLE","B","E01","C","Explícame qué es Valentín Protección Integral.","entity","Google","Google generative search surface","10","deferred_robustness","artifacts/ai-visibility/f0-zero-baseline/Z0-E01-C-GOOGLE/response.txt"
"zero-v0","Z0-E01-C-COPILOT","B","E01","C","Explícame qué es Valentín Protección Integral.","entity","Copilot","Microsoft Copilot","11","deferred_robustness","artifacts/ai-visibility/f0-zero-baseline/Z0-E01-C-COPILOT/response.txt"
"zero-v0","Z0-E01-C-PERPLEXITY","B","E01","C","Explícame qué es Valentín Protección Integral.","entity","Perplexity","Perplexity","12","deferred_robustness","artifacts/ai-visibility/f0-zero-baseline/Z0-E01-C-PERPLEXITY/response.txt"
"zero-v0","Z0-E02-A-CHATGPT","A","E02","A","¿Quién está detrás de Valentín Protección Integral?","entity","ChatGPT","ChatGPT","13","complete","artifacts/ai-visibility/f0-zero-baseline/Z0-E02-A-CHATGPT/response.txt"
"zero-v0","Z0-E02-A-GOOGLE","A","E02","A","¿Quién está detrás de Valentín Protección Integral?","entity","Google","Google generative search surface","14","complete","artifacts/ai-visibility/f0-zero-baseline/Z0-E02-A-GOOGLE/response.txt"
"zero-v0","Z0-E02-A-COPILOT","A","E02","A","¿Quién está detrás de Valentín Protección Integral?","entity","Copilot","Microsoft Copilot","15","complete","artifacts/ai-visibility/f0-zero-baseline/Z0-E02-A-COPILOT/response.txt"
"zero-v0","Z0-E02-A-PERPLEXITY","A","E02","A","¿Quién está detrás de Valentín Protección Integral?","entity","Perplexity","Perplexity","16","complete","artifacts/ai-visibility/f0-zero-baseline/Z0-E02-A-PERPLEXITY/response.txt"
"zero-v0","Z0-E03-A-CHATGPT","A","E03","A","¿Valentín Protección Integral es una aseguradora, correduría o agencia de seguros?","entity","ChatGPT","ChatGPT","17","complete","artifacts/ai-visibility/f0-zero-baseline/Z0-E03-A-CHATGPT/response.txt"
"zero-v0","Z0-E03-A-GOOGLE","A","E03","A","¿Valentín Protección Integral es una aseguradora, correduría o agencia de seguros?","entity","Google","Google generative search surface","18","complete","artifacts/ai-visibility/f0-zero-baseline/Z0-E03-A-GOOGLE/response.txt"
"zero-v0","Z0-E03-A-COPILOT","A","E03","A","¿Valentín Protección Integral es una aseguradora, correduría o agencia de seguros?","entity","Copilot","Microsoft Copilot","19","complete","artifacts/ai-visibility/f0-zero-baseline/Z0-E03-A-COPILOT/response.txt"
"zero-v0","Z0-E03-A-PERPLEXITY","A","E03","A","¿Valentín Protección Integral es una aseguradora, correduría o agencia de seguros?","entity","Perplexity","Perplexity","20","complete","artifacts/ai-visibility/f0-zero-baseline/Z0-E03-A-PERPLEXITY/response.txt"
