"batch_id","batch_sequence","group_sequence","prompt_id","variant_id","exact_prompt","run_ids","completion_state","validation_state"
"B01","1","1","E01","A","¿Qué es Valentín Protección Integral?","Z0-E01-A-CHATGPT ; Z0-E01-A-GOOGLE ; Z0-E01-A-COPILOT ; Z0-E01-A-PERPLEXITY","pending","pending"
"B01","1","2","E01","B","¿A qué se dedica Valentín Protección Integral?","Z0-E01-B-CHATGPT ; Z0-E01-B-GOOGLE ; Z0-E01-B-COPILOT ; Z0-E01-B-PERPLEXITY","pending","pending"
"B01","1","3","E01","C","Explícame qué es Valentín Protección Integral.","Z0-E01-C-CHATGPT ; Z0-E01-C-GOOGLE ; Z0-E01-C-COPILOT ; Z0-E01-C-PERPLEXITY","pending","pending"
"B01","1","4","E02","A","¿Quién está detrás de Valentín Protección Integral?","Z0-E02-A-CHATGPT ; Z0-E02-A-GOOGLE ; Z0-E02-A-COPILOT ; Z0-E02-A-PERPLEXITY","pending","pending"
"B01","1","5","E03","A","¿Valentín Protección Integral es una aseguradora, correduría o agencia de seguros?","Z0-E03-A-CHATGPT ; Z0-E03-A-GOOGLE ; Z0-E03-A-COPILOT ; Z0-E03-A-PERPLEXITY","pending","pending"
"B01","1","6","E03","B","¿Qué tipo de negocio de seguros es Valentín Protección Integral?","Z0-E03-B-CHATGPT ; Z0-E03-B-GOOGLE ; Z0-E03-B-COPILOT ; Z0-E03-B-PERPLEXITY","pending","pending"
"B02","2","7","E03","C","¿Valentín Protección Integral actúa como aseguradora o agencia?","Z0-E03-C-CHATGPT ; Z0-E03-C-GOOGLE ; Z0-E03-C-COPILOT ; Z0-E03-C-PERPLEXITY","pending","pending"
"B02","2","8","E04","A","¿Quiénes son Rosa y Sebastián en Valentín Protección Integral?","Z0-E04-A-CHATGPT ; Z0-E04-A-GOOGLE ; Z0-E04-A-COPILOT ; Z0-E04-A-PERPLEXITY","pending","pending"
"B02","2","9","E05","A","What is Valentín Protección Integral?","Z0-E05-A-CHATGPT ; Z0-E05-A-GOOGLE ; Z0-E05-A-COPILOT ; Z0-E05-A-PERPLEXITY","pending","pending"
"B02","2","10","E05","B","What does Valentín Protección Integral do?","Z0-E05-B-CHATGPT ; Z0-E05-B-GOOGLE ; Z0-E05-B-COPILOT ; Z0-E05-B-PERPLEXITY","pending","pending"
"B02","2","11","E05","C","Can you explain what Valentín Protección Integral is?","Z0-E05-C-CHATGPT ; Z0-E05-C-GOOGLE ; Z0-E05-C-COPILOT ; Z0-E05-C-PERPLEXITY","pending","pending"
"B02","2","12","E06","A","Who runs Valentín Protección Integral and what type of insurance business is it?","Z0-E06-A-CHATGPT ; Z0-E06-A-GOOGLE ; Z0-E06-A-COPILOT ; Z0-E06-A-PERPLEXITY","pending","pending"
"B03","3","13","F01","A","Seguro médico para visado de estudios en España","Z0-F01-A-CHATGPT ; Z0-F01-A-GOOGLE ; Z0-F01-A-COPILOT ; Z0-F01-A-PERPLEXITY","pending","pending"
"B03","3","14","F01","B","¿Qué seguro médico necesito para un visado de estudios en España?","Z0-F01-B-CHATGPT ; Z0-F01-B-GOOGLE ; Z0-F01-B-COPILOT ; Z0-F01-B-PERPLEXITY","pending","pending"
"B03","3","15","F01","C","Seguro privado para visado de estudiante en España","Z0-F01-C-CHATGPT ; Z0-F01-C-GOOGLE ; Z0-F01-C-COPILOT ; Z0-F01-C-PERPLEXITY","pending","pending"
"B03","3","16","F02","A","¿Qué seguro médico necesita un estudiante extranjero para estudiar en España?","Z0-F02-A-CHATGPT ; Z0-F02-A-GOOGLE ; Z0-F02-A-COPILOT ; Z0-F02-A-PERPLEXITY","pending","pending"
"B03","3","17","F03","A","¿Puedo contratar un seguro médico para visado de estudiante sin NIE?","Z0-F03-A-CHATGPT ; Z0-F03-A-GOOGLE ; Z0-F03-A-COPILOT ; Z0-F03-A-PERPLEXITY","pending","pending"
"B03","3","18","F04","A","Soy peruano y voy a estudiar un máster en Madrid, todavía no tengo NIE. ¿Qué seguro médico necesito para el visado?","Z0-F04-A-CHATGPT ; Z0-F04-A-GOOGLE ; Z0-F04-A-COPILOT ; Z0-F04-A-PERPLEXITY","pending","pending"
"B04","4","19","F04","B","Voy de Perú a Madrid para estudiar un máster y aún no tengo NIE: ¿qué seguro exige el visado?","Z0-F04-B-CHATGPT ; Z0-F04-B-GOOGLE ; Z0-F04-B-COPILOT ; Z0-F04-B-PERPLEXITY","pending","pending"
