"benchmark_version","run_id","timestamp_utc","engine","engine_surface","country_context","account_context","prompt_id","variant_id","prompt_text","ai_surface_present","search_enabled","logged_in","memory_context","browser_language","observed_country","run_sequence","retrieval_observed","vpi_mentioned","vpi_cited","vpi_recommended","entity_correct","service_correct","absorption_observed","vpi_urls","mention_position","citation_position","response_capture_ref","capture_quality","annotator","qa_status","qa_disagreement","notes"
"benchmark-v0","P0-E01-CHATGPT","pending","ChatGPT","ChatGPT","pending","pending","E01","canonical_prompt","¿Qué es Valentín Protección Integral?","pending","pending","pending","pending","pending","pending","1","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending"
"benchmark-v0","P0-E01-GOOGLE","pending","Google","Google AI Mode / AI Overview","pending","pending","E01","canonical_prompt","¿Qué es Valentín Protección Integral?","pending","pending","pending","pending","pending","pending","2","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending"
"benchmark-v0","P0-E01-COPILOT","pending","Copilot","Microsoft Copilot","pending","pending","E01","canonical_prompt","¿Qué es Valentín Protección Integral?","pending","pending","pending","pending","pending","pending","3","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending"
"benchmark-v0","P0-E01-PERPLEXITY","pending","Perplexity","Perplexity","pending","pending","E01","canonical_prompt","¿Qué es Valentín Protección Integral?","pending","pending","pending","pending","pending","pending","4","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending"
"benchmark-v0","P0-F01-CHATGPT","pending","ChatGPT","ChatGPT","pending","pending","F01","canonical_prompt","Seguro médico para visado de estudios en España","pending","pending","pending","pending","pending","pending","5","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending"
"benchmark-v0","P0-F01-GOOGLE","pending","Google","Google AI Mode / AI Overview","pending","pending","F01","canonical_prompt","Seguro médico para visado de estudios en España","pending","pending","pending","pending","pending","pending","6","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending"
"benchmark-v0","P0-F01-COPILOT","pending","Copilot","Microsoft Copilot","pending","pending","F01","canonical_prompt","Seguro médico para visado de estudios en España","pending","pending","pending","pending","pending","pending","7","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending"
"benchmark-v0","P0-F01-PERPLEXITY","pending","Perplexity","Perplexity","pending","pending","F01","canonical_prompt","Seguro médico para visado de estudios en España","pending","pending","pending","pending","pending","pending","8","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending"
"benchmark-v0","P0-N01-CHATGPT","pending","ChatGPT","ChatGPT","pending","pending","N01","canonical_prompt","¿Qué gestoría me puede llevar la contabilidad trimestral de un autónomo?","pending","pending","pending","pending","pending","pending","9","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending"
"benchmark-v0","P0-N01-GOOGLE","pending","Google","Google AI Mode / AI Overview","pending","pending","N01","canonical_prompt","¿Qué gestoría me puede llevar la contabilidad trimestral de un autónomo?","pending","pending","pending","pending","pending","pending","10","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending"
"benchmark-v0","P0-N01-COPILOT","pending","Copilot","Microsoft Copilot","pending","pending","N01","canonical_prompt","¿Qué gestoría me puede llevar la contabilidad trimestral de un autónomo?","pending","pending","pending","pending","pending","pending","11","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending"
"benchmark-v0","P0-N01-PERPLEXITY","pending","Perplexity","Perplexity","pending","pending","N01","canonical_prompt","¿Qué gestoría me puede llevar la contabilidad trimestral de un autónomo?","pending","pending","pending","pending","pending","pending","12","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending","pending"
