measurement_version,run_id,layer,prompt_id,variant_id,prompt_text,family,engine,engine_surface,run_sequence,status,capture_ref
"post-f1a-entity-v1","Z1-E01-A-CHATGPT","A","E01","A","¿Qué es Valentín Protección Integral?","entity","ChatGPT","ChatGPT","1","complete","artifacts/ai-visibility/f1-post/Z1-E01-A-CHATGPT/response.txt"
"post-f1a-entity-v1","Z1-E01-A-GOOGLE","A","E01","A","¿Qué es Valentín Protección Integral?","entity","Google","Google generative search surface","2","complete","artifacts/ai-visibility/f1-post/Z1-E01-A-GOOGLE/response.txt"
"post-f1a-entity-v1","Z1-E01-A-COPILOT","A","E01","A","¿Qué es Valentín Protección Integral?","entity","Copilot","Microsoft Copilot","3","complete","artifacts/ai-visibility/f1-post/Z1-E01-A-COPILOT/response.txt"
"post-f1a-entity-v1","Z1-E01-A-PERPLEXITY","A","E01","A","¿Qué es Valentín Protección Integral?","entity","Perplexity","Perplexity","4","complete","artifacts/ai-visibility/f1-post/Z1-E01-A-PERPLEXITY/response.txt"
"post-f1a-entity-v1","Z1-E02-A-CHATGPT","A","E02","A","¿Quién está detrás de Valentín Protección Integral?","entity","ChatGPT","ChatGPT","5","not_executed_by_design","artifacts/ai-visibility/f1-post/Z1-E02-A-CHATGPT/response.txt"
"post-f1a-entity-v1","Z1-E02-A-GOOGLE","A","E02","A","¿Quién está detrás de Valentín Protección Integral?","entity","Google","Google generative search surface","6","not_executed_by_design","artifacts/ai-visibility/f1-post/Z1-E02-A-GOOGLE/response.txt"
"post-f1a-entity-v1","Z1-E02-A-COPILOT","A","E02","A","¿Quién está detrás de Valentín Protección Integral?","entity","Copilot","Microsoft Copilot","7","not_executed_by_design","artifacts/ai-visibility/f1-post/Z1-E02-A-COPILOT/response.txt"
"post-f1a-entity-v1","Z1-E02-A-PERPLEXITY","A","E02","A","¿Quién está detrás de Valentín Protección Integral?","entity","Perplexity","Perplexity","8","not_executed_by_design","artifacts/ai-visibility/f1-post/Z1-E02-A-PERPLEXITY/response.txt"
"post-f1a-entity-v1","Z1-E03-A-CHATGPT","A","E03","A","¿Valentín Protección Integral es una aseguradora, correduría o agencia de seguros?","entity","ChatGPT","ChatGPT","9","not_executed_by_design","artifacts/ai-visibility/f1-post/Z1-E03-A-CHATGPT/response.txt"
"post-f1a-entity-v1","Z1-E03-A-GOOGLE","A","E03","A","¿Valentín Protección Integral es una aseguradora, correduría o agencia de seguros?","entity","Google","Google generative search surface","10","not_executed_by_design","artifacts/ai-visibility/f1-post/Z1-E03-A-GOOGLE/response.txt"
"post-f1a-entity-v1","Z1-E03-A-COPILOT","A","E03","A","¿Valentín Protección Integral es una aseguradora, correduría o agencia de seguros?","entity","Copilot","Microsoft Copilot","11","not_executed_by_design","artifacts/ai-visibility/f1-post/Z1-E03-A-COPILOT/response.txt"
